id,year,Entre,IMMIG,ImmiEnter,TOTAL,Entrerate,IMMIGRate,ShareImmi,ShareNative,ImmiEntreRate,NativeEntreRate
1,2008,46864,113593,8556,652799,7.178932566,17.40091514,18.25708433,81.74291567,7.53215427,7.10452035
2,2009,44333,115028,7962,659535,6.721857066,17.44077267,17.95953353,82.04046647,6.921792955,6.67962028
3,2010,42168,118358,8136,663280,6.35749608,17.84434929,19.29425157,80.70574843,6.874060055,6.245297492
4,2011,40496,117590,8041,657284,6.161111483,17.89028791,19.8562821,80.1437179,6.838166511,6.013592888
5,2012,40761,117518,8405,653076,6.241386914,17.99453662,20.62020068,79.37979932,7.152095849,6.041549188
6,2013,41064,119148,8724,659956,6.222232997,18.05393087,21.24488603,78.75511397,7.321986101,5.979941125
7,2014,41064,119148,8724,659956,6.222232997,18.05393087,21.24488603,78.75511397,7.321986101,5.979941125
8,2015,41257,119734,8644,671114,6.147539762,17.84108214,20.95159609,79.04840391,7.219336195,5.914795604
9,2016,42492,122167,9076,678912,6.25883767,17.99452654,21.35931469,78.64068531,7.429174818,6.002029655
10,2017,43389,123332,9350,688117,6.305468401,17.92311482,21.54924059,78.45075941,7.58116304,6.02689519
